"method","arm","level","sample_size","effect_size","truth","predicted","n"
"mrgn","truth","model",150,"small","M0","M3",0
"mrgn","truth","model",150,"small","M1","M3",0
"mrgn","truth","model",150,"small","M2","M3",0
"mrgn","truth","model",150,"small","M3","M3",2
"mrgn","truth","model",150,"small","M4","M3",3
"mrgn","truth","model",150,"small","M0","M4",0
"mrgn","truth","model",150,"small","M1","M4",0
"mrgn","truth","model",150,"small","M2","M4",0
"mrgn","truth","model",150,"small","M3","M4",0
"mrgn","truth","model",150,"small","M4","M4",0
"mrgn","truth","model",150,"small","M0","Other",15
"mrgn","truth","model",150,"small","M1","Other",13
"mrgn","truth","model",150,"small","M2","Other",16
"mrgn","truth","model",150,"small","M3","Other",14
"mrgn","truth","model",150,"small","M4","Other",10
"mrgn","truth","edge",150,"small","M0","T1 - T2 Edge Absent",5
"mrgn","truth","edge",150,"small","M1","T1 - T2 Edge Absent",3
"mrgn","truth","edge",150,"small","M2","T1 - T2 Edge Absent",0
"mrgn","truth","edge",150,"small","M3","T1 - T2 Edge Absent",6
"mrgn","truth","edge",150,"small","M4","T1 - T2 Edge Absent",7
"mrgn","truth","edge",150,"small","M0","T1 - T2 Edge Present",0
"mrgn","truth","edge",150,"small","M1","T1 - T2 Edge Present",4
"mrgn","truth","edge",150,"small","M2","T1 - T2 Edge Present",4
"mrgn","truth","edge",150,"small","M3","T1 - T2 Edge Present",0
"mrgn","truth","edge",150,"small","M4","T1 - T2 Edge Present",3
"mrgn","truth","edge",150,"small","M0","Other",15
"mrgn","truth","edge",150,"small","M1","Other",13
"mrgn","truth","edge",150,"small","M2","Other",16
"mrgn","truth","edge",150,"small","M3","Other",14
"mrgn","truth","edge",150,"small","M4","Other",10
"mrgn","truth","model",150,"medium","M0","M0",19
"mrgn","truth","model",150,"medium","M1","M0",1
"mrgn","truth","model",150,"medium","M2","M0",1
"mrgn","truth","model",150,"medium","M3","M0",4
"mrgn","truth","model",150,"medium","M4","M0",1
"mrgn","truth","model",150,"medium","M0","M1",0
"mrgn","truth","model",150,"medium","M1","M1",12
"mrgn","truth","model",150,"medium","M2","M1",12
"mrgn","truth","model",150,"medium","M3","M1",0
"mrgn","truth","model",150,"medium","M4","M1",10
"mrgn","truth","model",150,"medium","M0","M2",0
"mrgn","truth","model",150,"medium","M1","M2",0
"mrgn","truth","model",150,"medium","M2","M2",2
"mrgn","truth","model",150,"medium","M3","M2",0
"mrgn","truth","model",150,"medium","M4","M2",0
"mrgn","truth","model",150,"medium","M0","M3",0
"mrgn","truth","model",150,"medium","M1","M3",0
"mrgn","truth","model",150,"medium","M2","M3",1
"mrgn","truth","model",150,"medium","M3","M3",15
"mrgn","truth","model",150,"medium","M4","M3",0
"mrgn","truth","model",150,"medium","M0","M4",0
"mrgn","truth","model",150,"medium","M1","M4",0
"mrgn","truth","model",150,"medium","M2","M4",0
"mrgn","truth","model",150,"medium","M3","M4",0
"mrgn","truth","model",150,"medium","M4","M4",6
"mrgn","truth","model",150,"medium","M0","Other",1
"mrgn","truth","model",150,"medium","M1","Other",7
"mrgn","truth","model",150,"medium","M2","Other",4
"mrgn","truth","model",150,"medium","M3","Other",1
"mrgn","truth","model",150,"medium","M4","Other",3
"mrgn","truth","edge",150,"medium","M0","T1 - T2 Edge Absent",19
"mrgn","truth","edge",150,"medium","M1","T1 - T2 Edge Absent",1
"mrgn","truth","edge",150,"medium","M2","T1 - T2 Edge Absent",2
"mrgn","truth","edge",150,"medium","M3","T1 - T2 Edge Absent",19
"mrgn","truth","edge",150,"medium","M4","T1 - T2 Edge Absent",1
"mrgn","truth","edge",150,"medium","M0","T1 - T2 Edge Present",0
"mrgn","truth","edge",150,"medium","M1","T1 - T2 Edge Present",12
"mrgn","truth","edge",150,"medium","M2","T1 - T2 Edge Present",14
"mrgn","truth","edge",150,"medium","M3","T1 - T2 Edge Present",0
"mrgn","truth","edge",150,"medium","M4","T1 - T2 Edge Present",16
"mrgn","truth","edge",150,"medium","M0","Other",1
"mrgn","truth","edge",150,"medium","M1","Other",7
"mrgn","truth","edge",150,"medium","M2","Other",4
"mrgn","truth","edge",150,"medium","M3","Other",1
"mrgn","truth","edge",150,"medium","M4","Other",3
"mrgn","truth","model",150,"large","M0","M0",20
"mrgn","truth","model",150,"large","M1","M0",0
"mrgn","truth","model",150,"large","M2","M0",0
"mrgn","truth","model",150,"large","M3","M0",0
"mrgn","truth","model",150,"large","M4","M0",0
"mrgn","truth","model",150,"large","M0","M1",0
"mrgn","truth","model",150,"large","M1","M1",20
"mrgn","truth","model",150,"large","M2","M1",7
"mrgn","truth","model",150,"large","M3","M1",0
"mrgn","truth","model",150,"large","M4","M1",18
"mrgn","truth","model",150,"large","M0","M2",0
"mrgn","truth","model",150,"large","M1","M2",0
"mrgn","truth","model",150,"large","M2","M2",13
"mrgn","truth","model",150,"large","M3","M2",0
"mrgn","truth","model",150,"large","M4","M2",0
"mrgn","truth","model",150,"large","M0","M3",0
"mrgn","truth","model",150,"large","M1","M3",0
"mrgn","truth","model",150,"large","M2","M3",0
"mrgn","truth","model",150,"large","M3","M3",20
"mrgn","truth","model",150,"large","M4","M3",0
"mrgn","truth","model",150,"large","M0","M4",0
"mrgn","truth","model",150,"large","M1","M4",0
"mrgn","truth","model",150,"large","M2","M4",0
"mrgn","truth","model",150,"large","M3","M4",0
"mrgn","truth","model",150,"large","M4","M4",1
"mrgn","truth","model",150,"large","M0","Other",0
"mrgn","truth","model",150,"large","M1","Other",0
"mrgn","truth","model",150,"large","M2","Other",0
"mrgn","truth","model",150,"large","M3","Other",0
"mrgn","truth","model",150,"large","M4","Other",1
"mrgn","truth","edge",150,"large","M0","T1 - T2 Edge Absent",20
"mrgn","truth","edge",150,"large","M1","T1 - T2 Edge Absent",0
"mrgn","truth","edge",150,"large","M2","T1 - T2 Edge Absent",0
"mrgn","truth","edge",150,"large","M3","T1 - T2 Edge Absent",20
"mrgn","truth","edge",150,"large","M4","T1 - T2 Edge Absent",0
"mrgn","truth","edge",150,"large","M0","T1 - T2 Edge Present",0
"mrgn","truth","edge",150,"large","M1","T1 - T2 Edge Present",20
"mrgn","truth","edge",150,"large","M2","T1 - T2 Edge Present",20
"mrgn","truth","edge",150,"large","M3","T1 - T2 Edge Present",0
"mrgn","truth","edge",150,"large","M4","T1 - T2 Edge Present",19
"mrgn","truth","edge",150,"large","M0","Other",0
"mrgn","truth","edge",150,"large","M1","Other",0
"mrgn","truth","edge",150,"large","M2","Other",0
"mrgn","truth","edge",150,"large","M3","Other",0
"mrgn","truth","edge",150,"large","M4","Other",1
"mrgn","truth","model",300,"all","M0","M0",50
"mrgn","truth","model",300,"all","M1","M0",3
"mrgn","truth","model",300,"all","M2","M0",2
"mrgn","truth","model",300,"all","M3","M0",3
"mrgn","truth","model",300,"all","M4","M0",1
"mrgn","truth","model",300,"all","M0","M1",2
"mrgn","truth","model",300,"all","M1","M1",49
"mrgn","truth","model",300,"all","M2","M1",22
"mrgn","truth","model",300,"all","M3","M1",0
"mrgn","truth","model",300,"all","M4","M1",22
"mrgn","truth","model",300,"all","M0","M2",0
"mrgn","truth","model",300,"all","M1","M2",0
"mrgn","truth","model",300,"all","M2","M2",25
"mrgn","truth","model",300,"all","M3","M2",0
"mrgn","truth","model",300,"all","M4","M2",2
"mrgn","truth","model",300,"all","M0","M3",2
"mrgn","truth","model",300,"all","M1","M3",0
"mrgn","truth","model",300,"all","M2","M3",0
"mrgn","truth","model",300,"all","M3","M3",44
"mrgn","truth","model",300,"all","M4","M3",3
"mrgn","truth","model",300,"all","M0","M4",0
"mrgn","truth","model",300,"all","M1","M4",2
"mrgn","truth","model",300,"all","M2","M4",1
"mrgn","truth","model",300,"all","M3","M4",1
"mrgn","truth","model",300,"all","M4","M4",22
"mrgn","truth","model",300,"all","M0","Other",6
"mrgn","truth","model",300,"all","M1","Other",6
"mrgn","truth","model",300,"all","M2","Other",10
"mrgn","truth","model",300,"all","M3","Other",12
"mrgn","truth","model",300,"all","M4","Other",10
"mrgn","truth","edge",300,"all","M0","T1 - T2 Edge Absent",52
"mrgn","truth","edge",300,"all","M1","T1 - T2 Edge Absent",3
"mrgn","truth","edge",300,"all","M2","T1 - T2 Edge Absent",2
"mrgn","truth","edge",300,"all","M3","T1 - T2 Edge Absent",47
"mrgn","truth","edge",300,"all","M4","T1 - T2 Edge Absent",4
"mrgn","truth","edge",300,"all","M0","T1 - T2 Edge Present",2
"mrgn","truth","edge",300,"all","M1","T1 - T2 Edge Present",51
"mrgn","truth","edge",300,"all","M2","T1 - T2 Edge Present",48
"mrgn","truth","edge",300,"all","M3","T1 - T2 Edge Present",1
"mrgn","truth","edge",300,"all","M4","T1 - T2 Edge Present",46
"mrgn","truth","edge",300,"all","M0","Other",6
"mrgn","truth","edge",300,"all","M1","Other",6
"mrgn","truth","edge",300,"all","M2","Other",10
"mrgn","truth","edge",300,"all","M3","Other",12
"mrgn","truth","edge",300,"all","M4","Other",10
"mrgn","truth","model",300,"small","M0","M0",14
"mrgn","truth","model",300,"small","M1","M0",3
"mrgn","truth","model",300,"small","M2","M0",2
"mrgn","truth","model",300,"small","M3","M0",2
"mrgn","truth","model",300,"small","M4","M0",1
"mrgn","truth","model",300,"small","M0","M1",1
"mrgn","truth","model",300,"small","M1","M1",11
"mrgn","truth","model",300,"small","M2","M1",8
"mrgn","truth","model",300,"small","M3","M1",0
"mrgn","truth","model",300,"small","M4","M1",3
"mrgn","truth","model",300,"small","M0","M2",0
"mrgn","truth","model",300,"small","M1","M2",0
"mrgn","truth","model",300,"small","M2","M2",0
"mrgn","truth","model",300,"small","M3","M2",0
"mrgn","truth","model",300,"small","M4","M2",2
"mrgn","truth","model",300,"small","M0","M3",0
"mrgn","truth","model",300,"small","M1","M3",0
"mrgn","truth","model",300,"small","M2","M3",0
"mrgn","truth","model",300,"small","M3","M3",7
"mrgn","truth","model",300,"small","M4","M3",3
"mrgn","truth","model",300,"small","M0","M4",0
"mrgn","truth","model",300,"small","M1","M4",0
