"method","arm","dataset","sample.size","effect_size","truth.model","time.seconds","timed.out","stalled"
"MRGN","CSa",1142,670,"small","M1.1",0.0486369132995605,FALSE,FALSE
"MRGN","CSa",1143,670,"small","M2.1",0.0374979972839355,FALSE,FALSE
"MRGN","CSa",1144,670,"small","M3",0.027324914932251,FALSE,FALSE
"MRGN","CSa",1145,670,"small","M4",0.0295720100402832,FALSE,FALSE
"MRGN","CSa",1146,1000,"small","M0.1",0.0577230453491211,FALSE,FALSE
"MRGN","CSa",1147,1000,"small","M1.1",0.0952069759368896,FALSE,FALSE
"MRGN","CSa",1148,1000,"small","M2.1",0.0976428985595703,FALSE,FALSE
"MRGN","CSa",1149,1000,"small","M3",0.0460870265960693,FALSE,FALSE
"MRGN","CSa",1150,1000,"small","M4",0.0353779792785645,FALSE,FALSE
"MRGN","CSa",1151,50,"medium","M0.1",0.0171878337860107,FALSE,FALSE
"MRGN","CSa",1152,50,"medium","M1.1",0.0214290618896484,FALSE,FALSE
"MRGN","CSa",1153,50,"medium","M2.1",0.0287702083587646,FALSE,FALSE
"MRGN","CSa",1154,50,"medium","M3",0.0205569267272949,FALSE,FALSE
"MRGN","CSa",1155,50,"medium","M4",0.0242869853973389,FALSE,FALSE
"MRGN","CSa",1156,150,"medium","M0.1",0.0378320217132568,FALSE,FALSE
"MRGN","CSa",1157,150,"medium","M1.1",0.0270218849182129,FALSE,FALSE
"MRGN","CSa",1158,150,"medium","M2.1",0.025515079498291,FALSE,FALSE
"MRGN","CSa",1159,150,"medium","M3",0.0289480686187744,FALSE,FALSE
"MRGN","CSa",1160,150,"medium","M4",0.054218053817749,FALSE,FALSE
"MRGN","CSa",1161,300,"medium","M0.1",0.0639081001281738,FALSE,FALSE
"MRGN","CSa",1162,300,"medium","M1.1",0.0569260120391846,FALSE,FALSE
"MRGN","CSa",1163,300,"medium","M2.1",0.0657060146331787,FALSE,FALSE
"MRGN","CSa",1164,300,"medium","M3",0.0547981262207031,FALSE,FALSE
"MRGN","CSa",1165,300,"medium","M4",0.0338239669799805,FALSE,FALSE
"MRGN","CSa",1166,670,"medium","M0.1",0.0376870632171631,FALSE,FALSE
"MRGN","CSa",1167,670,"medium","M1.1",0.0415298938751221,FALSE,FALSE
"MRGN","CSa",1168,670,"medium","M2.1",0.0249838829040527,FALSE,FALSE
"MRGN","CSa",1169,670,"medium","M3",0.0326619148254395,FALSE,FALSE
"MRGN","CSa",1170,670,"medium","M4",0.0274271965026855,FALSE,FALSE
"MRGN","CSa",1171,1000,"medium","M0.1",0.037524938583374,FALSE,FALSE
"MRGN","CSa",1172,1000,"medium","M1.1",0.0543200969696045,FALSE,FALSE
"MRGN","CSa",1173,1000,"medium","M2.1",0.0822310447692871,FALSE,FALSE
"MRGN","CSa",1174,1000,"medium","M3",0.0517420768737793,FALSE,FALSE
"MRGN","CSa",1175,1000,"medium","M4",0.0529658794403076,FALSE,FALSE
"MRGN","CSa",1176,50,"large","M0.1",0.0176689624786377,FALSE,FALSE
"MRGN","CSa",1177,50,"large","M1.1",0.0260770320892334,FALSE,FALSE
"MRGN","CSa",1178,50,"large","M2.1",0.0299830436706543,FALSE,FALSE
"MRGN","CSa",1179,50,"large","M3",0.0197639465332031,FALSE,FALSE
"MRGN","CSa",1180,50,"large","M4",0.0214300155639648,FALSE,FALSE
"MRGN","CSa",1181,150,"large","M0.1",0.0321989059448242,FALSE,FALSE
"MRGN","CSa",1182,150,"large","M1.1",0.0283279418945312,FALSE,FALSE
"MRGN","CSa",1183,150,"large","M2.1",0.0367910861968994,FALSE,FALSE
"MRGN","CSa",1184,150,"large","M3",0.0309422016143799,FALSE,FALSE
"MRGN","CSa",1185,150,"large","M4",0.0489428043365479,FALSE,FALSE
"MRGN","CSa",1186,300,"large","M0.1",0.0230629444122314,FALSE,FALSE
"MRGN","CSa",1187,300,"large","M1.1",0.0415730476379395,FALSE,FALSE
"MRGN","CSa",1188,300,"large","M2.1",0.0243508815765381,FALSE,FALSE
"MRGN","CSa",1189,300,"large","M3",0.0253050327301025,FALSE,FALSE
"MRGN","CSa",1190,300,"large","M4",0.0285778045654297,FALSE,FALSE
"MRGN","CSa",1191,670,"large","M0.1",0.084935188293457,FALSE,FALSE
"MRGN","CSa",1192,670,"large","M1.1",0.059467077255249,FALSE,FALSE
"MRGN","CSa",1193,670,"large","M2.1",0.0717329978942871,FALSE,FALSE
"MRGN","CSa",1194,670,"large","M3",0.0355579853057861,FALSE,FALSE
"MRGN","CSa",1195,670,"large","M4",0.0219171047210693,FALSE,FALSE
"MRGN","CSa",1196,1000,"large","M0.1",0.0539190769195557,FALSE,FALSE
"MRGN","CSa",1197,1000,"large","M1.1",0.0264308452606201,FALSE,FALSE
"MRGN","CSa",1198,1000,"large","M2.1",0.0377089977264404,FALSE,FALSE
"MRGN","CSa",1199,1000,"large","M3",0.0967731475830078,FALSE,FALSE
"MRGN","CSa",1200,1000,"large","M4",0.0940351486206055,FALSE,FALSE
"MRGN","CSa",1201,50,"small","M0.1",0.0241360664367676,FALSE,FALSE
"MRGN","CSa",1202,50,"small","M1.1",0.0221168994903564,FALSE,FALSE
"MRGN","CSa",1203,50,"small","M2.1",0.0163490772247314,FALSE,FALSE
