"method","sample_size","effect_size","metric","observed","denominator","boot_lo95","boot_q1","boot_median","boot_q3","boot_hi95","n_resamples"
"MR-GGI",150,"large","Precision",0.686274509803922,51,0.634615384615385,0.666666666666667,0.686274509803922,0.705882352941177,0.745098039215686,2000
"MR-GGI",150,"large","Recall",0.583333333333333,60,0.516666666666667,0.566666666666667,0.583333333333333,0.6,0.65,2000
"MR-GGI",300,"small","Precision",0.75,4,0,0.6,0.75,1,1,1976
"MR-GGI",300,"small","Recall",0.05,60,0,0.0333333333333333,0.05,0.0666666666666667,0.1,2000
"MR-GGI",300,"medium","Precision",0.837209302325581,43,0.75,0.808510638297872,0.837209302325581,0.870122630992196,0.926829268292683,2000
"MR-GGI",300,"medium","Recall",0.6,60,0.516666666666667,0.566666666666667,0.6,0.633333333333333,0.683333333333333,2000
"MR-GGI",300,"large","Precision",0.727272727272727,55,0.678571428571429,0.709090909090909,0.727272727272727,0.745454545454545,0.788461538461538,2000
"MR-GGI",300,"large","Recall",0.666666666666667,60,0.616666666666667,0.65,0.666666666666667,0.683333333333333,0.716666666666667,2000
"MR-GGI",670,"small","Precision",0.769230769230769,13,0.555555555555556,0.705882352941177,0.769230769230769,0.846153846153846,1,2000
"MR-GGI",670,"small","Recall",0.166666666666667,60,0.1,0.133333333333333,0.166666666666667,0.2,0.25,2000
"MR-GGI",670,"medium","Precision",0.731707317073171,41,0.644444444444444,0.702127659574468,0.733333333333333,0.763157894736842,0.829268292682927,2000
"MR-GGI",670,"medium","Recall",0.5,60,0.416666666666667,0.466666666666667,0.5,0.533333333333333,0.583333333333333,2000
"MR-GGI",670,"large","Precision",0.711864406779661,59,0.677966101694915,0.694915254237288,0.711864406779661,0.724137931034483,0.758620689655172,2000
"MR-GGI",670,"large","Recall",0.7,60,0.666666666666667,0.683333333333333,0.7,0.716666666666667,0.75,2000
"MR-GGI",1000,"small","Precision",0.588235294117647,17,0.388888888888889,0.526315789473684,0.588235294117647,0.666666666666667,0.8,2000
"MR-GGI",1000,"small","Recall",0.166666666666667,60,0.0833333333333333,0.133333333333333,0.166666666666667,0.2,0.25,2000
