"method","arm","scope","n_trios","n_timed_out","n_stalled","n_scored","min","q1","median","q3","iqr","max","mean","total_hours"
"MR-GGI","truth","150",300,0,0,300,0.0335779190063477,1.44406414031982,5.18224489688873,11.4001653194427,9.95610117912292,21.686203956604,6.64279285669327,0.553566071391106
"MR-GGI","truth","300",300,0,0,300,0.0432701110839844,2.05728697776794,7.98560297489166,15.6772764921188,13.6199895143509,77.8501529693604,12.8747499314944,1.07289582762453
"MR-GGI","truth","670",300,0,7,293,0.149629831314087,3.34094595909119,11.3497819900513,21.0317997932434,17.6908538341522,97.0239300727844,15.2091543853486,1.2378561763631
"MR-GGI","truth","1000",300,0,0,300,0.0415890216827393,2.87387776374817,9.19479238986969,20.3722991943359,17.4984214305878,229.529897212982,16.4657123088837,1.37214269240697
"MR-GGI","CSa","all",1500,0,20,1480,14.1386859416962,53.4808087348938,79.1261085271835,139.669506490231,86.1886977553368,778.484901189804,120.882585641822,49.6961740971936
"MR-GGI","CSa","n<=300",900,0,0,900,14.1386859416962,45.4245400428772,59.0095394849777,78.3193335533142,32.894793510437,509.182879924774,80.0157672333717,20.0039418083429
"MR-GGI","CSa","50",300,0,0,300,14.628338098526,40.0996790528297,46.0648634433746,55.0550484061241,14.9553693532944,91.8097560405731,48.0330214468638,4.00275178723865
"MR-GGI","CSa","150",300,0,0,300,14.1386859416962,48.4771177768707,57.2631341218948,66.9414333105087,18.464315533638,108.13508605957,57.6857940570513,4.80714950475428
"MR-GGI","CSa","300",300,0,0,300,21.9376919269562,69.5435665249825,89.4456830024719,187.578552722931,118.034986197948,509.182879924774,134.3284861962,11.19404051635
"MR-GGI","CSa","670",300,0,20,280,22.6992988586426,94.6002904772758,127.591285467148,206.00114274025,111.400852262974,618.275959014893,164.209549335923,12.7718538372384
"MR-GGI","CSa","1000",300,0,0,300,42.4710800647736,109.838594734669,154.637929439545,239.956684172153,130.118089437485,778.484901189804,203.044541419347,16.9203784516123
"GMAC","selected","all",1500,0,0,1500,0.217767953872681,0.515124261379242,0.78674852848053,2.38030207157135,1.86517781019211,10.7576088905334,1.58222363424301,0.659259847601255
"GMAC","selected","n<=300",900,0,0,900,0.217767953872681,0.449531376361847,0.557561039924622,0.713508307933807,0.26397693157196,1.30709004402161,0.594588083691067,0.148647020922767
"GMAC","selected","50",300,0,0,300,0.276702880859375,0.399296820163727,0.443696975708008,0.485127866268158,0.0858310461044312,0.743850946426392,0.44709050099055,0.0372575417492125
"GMAC","selected","150",300,0,0,300,0.217767953872681,0.503156304359436,0.592493534088135,0.682294309139252,0.179138004779816,0.963898897171021,0.586498488585154,0.0488748740487629
"GMAC","selected","300",300,0,0,300,0.267019987106323,0.633141875267029,0.758169889450073,0.875324964523315,0.242183089256287,1.30709004402161,0.750175261497498,0.0625146051247915
"GMAC","selected","670",300,0,0,300,0.670235872268677,2.23492592573166,2.98078942298889,4.07708394527435,1.84215801954269,10.7576088905334,3.38201195001602,0.281834329168002
"GMAC","selected","1000",300,0,0,300,0.606418132781982,1.70139592885971,2.67130649089813,3.68772995471954,1.98633402585983,6.50899314880371,2.74534197012583,0.228778497510486
